state,county,year,diabetes_prevalence,poverty_population,FIPS,LA1and10,LILATracts_1And10,is_rural
Alabama,Autauga,2019,6.8,54922.0,01001,,,1
Alabama,Autauga,2019,6.8,54922.0,01001,,,0
Alabama,Baldwin,2019,6.8,209618.0,01003,,,1
Alabama,Baldwin,2019,6.8,209618.0,01003,,,0
Alabama,Barbour,2019,6.8,22417.0,01005,,,1
Alabama,Barbour,2019,6.8,22417.0,01005,,,0
Alabama,Bibb,2019,6.8,20632.0,01007,,,1
Alabama,Bibb,2019,6.8,20632.0,01007,,,0
Alabama,Blount,2019,6.8,57108.0,01009,,,1
Alabama,Blount,2019,6.8,57108.0,01009,,,0
Alabama,Bullock,2019,6.8,9784.0,01011,,,1
Alabama,Bullock,2019,6.8,9784.0,01011,,,0
Alabama,Butler,2019,6.8,19540.0,01013,,,1
Alabama,Butler,2019,6.8,19540.0,01013,,,0
Alabama,Calhoun,2019,6.8,111542.0,01015,,,1
Alabama,Calhoun,2019,6.8,111542.0,01015,,,0
Alabama,Chambers,2019,6.8,33103.0,01017,,,1
Alabama,Chambers,2019,6.8,33103.0,01017,,,0
Alabama,Cherokee,2019,6.8,25571.0,01019,,,1
Alabama,Cherokee,2019,6.8,25571.0,01019,,,0
Alabama,Chilton,2019,6.8,43430.0,01021,,,1
Alabama,Chilton,2019,6.8,43430.0,01021,,,0
Alabama,Choctaw,2019,6.8,12712.0,01023,,,1
Alabama,Choctaw,2019,6.8,12712.0,01023,,,0
Alabama,Clarke,2019,6.8,23628.0,01025,,,1
Alabama,Clarke,2019,6.8,23628.0,01025,,,0
Alabama,Clay,2019,6.8,13049.0,01027,,,1
Alabama,Clay,2019,6.8,13049.0,01027,,,0
Alabama,Cleburne,2019,6.8,14644.0,01029,,,1
Alabama,Cleburne,2019,6.8,14644.0,01029,,,0
Alabama,Coffee,2019,6.8,50898.0,01031,,,1
Alabama,Coffee,2019,6.8,50898.0,01031,,,0
Alabama,Colbert,2019,6.8,54248.0,01033,,,1
Alabama,Colbert,2019,6.8,54248.0,01033,,,0
Alabama,Conecuh,2019,6.8,12283.0,01035,,,1
Alabama,Conecuh,2019,6.8,12283.0,01035,,,0
Alabama,Coosa,2019,6.8,10353.0,01037,,,1
Alabama,Coosa,2019,6.8,10353.0,01037,,,0
Alabama,Covington,2019,6.8,36348.0,01039,,,1
Alabama,Covington,2019,6.8,36348.0,01039,,,0
Alabama,Crenshaw,2019,6.8,13623.0,01041,,,1
Alabama,Crenshaw,2019,6.8,13623.0,01041,,,0
Alabama,Cullman,2019,6.8,81597.0,01043,,,1
Alabama,Cullman,2019,6.8,81597.0,01043,,,0
Alabama,Dale,2019,6.8,47739.0,01045,,,1
Alabama,Dale,2019,6.8,47739.0,01045,,,0
Alabama,Dallas,2019,6.8,38546.0,01047,,,1
Alabama,Dallas,2019,6.8,38546.0,01047,,,0
Alabama,Dekalb,2019,6.8,70355.0,01049,,,1
Alabama,Dekalb,2019,6.8,70355.0,01049,,,0
Alabama,Elmore,2019,6.8,76637.0,01051,,,1
Alabama,Elmore,2019,6.8,76637.0,01051,,,0
Alabama,Escambia,2019,6.8,34089.0,01053,,,1
Alabama,Escambia,2019,6.8,34089.0,01053,,,0
Alabama,Etowah,2019,6.8,101346.0,01055,,,1
Alabama,Etowah,2019,6.8,101346.0,01055,,,0
Alabama,Fayette,2019,6.8,16182.0,01057,,,1
Alabama,Fayette,2019,6.8,16182.0,01057,,,0
Alabama,Franklin,2019,6.8,30947.0,01059,,,1
Alabama,Franklin,2019,6.8,30947.0,01059,,,0
Alabama,Geneva,2019,6.8,26092.0,01061,,,1
Alabama,Geneva,2019,6.8,26092.0,01061,,,0
Alabama,Greene,2019,6.8,8242.0,01063,,,1
Alabama,Greene,2019,6.8,8242.0,01063,,,0
Alabama,Hale,2019,6.8,14565.0,01065,,,1
Alabama,Hale,2019,6.8,14565.0,01065,,,0
Alabama,Henry,2019,6.8,16752.0,01067,,,1
Alabama,Henry,2019,6.8,16752.0,01067,,,0
Alabama,Houston,2019,6.8,103568.0,01069,,,1
Alabama,Houston,2019,6.8,103568.0,01069,,,0
Alabama,Jackson,2019,6.8,51312.0,01071,,,1
Alabama,Jackson,2019,6.8,51312.0,01071,,,0
Alabama,Jefferson,2019,6.8,645406.0,01073,,,1
Alabama,Jefferson,2019,6.8,645406.0,01073,,,0
Alabama,Lamar,2019,6.8,13692.0,01075,,,1
Alabama,Lamar,2019,6.8,13692.0,01075,,,0
Alabama,Lauderdale,2019,6.8,90346.0,01077,,,1
Alabama,Lauderdale,2019,6.8,90346.0,01077,,,0
Alabama,Lawrence,2019,6.8,32753.0,01079,,,1
Alabama,Lawrence,2019,6.8,32753.0,01079,,,0
Alabama,Lee,2019,6.8,155265.0,01081,,,1
Alabama,Lee,2019,6.8,155265.0,01081,,,0
Alabama,Limestone,2019,6.8,91626.0,01083,,,1
Alabama,Limestone,2019,6.8,91626.0,01083,,,0
Alabama,Lowndes,2019,6.8,9936.0,01085,,,1
