state,county,year,metric_type,diabetes_prevalence,poverty_population,FIPS
Illinois,"Fayette County, Illinois",2019,Number,4724.0,19855.0,17051
Illinois,"Logan County, Illinois",2019,Number,4724.0,24979.0,17107
Illinois,"Saline County, Illinois",2019,Number,4724.0,23435.0,17165
Illinois,"Lake County, Illinois",2019,Number,4724.0,684107.0,17097
Illinois,"Massac County, Illinois",2019,Number,4724.0,13918.0,17127
Illinois,"Cass County, Illinois",2019,Number,4724.0,12331.0,17017
Indiana,"Huntington County, Indiana",2021,Crude Prevalence,16.7,34942.0,18069
Indiana,"White County, Indiana",2021,Crude Prevalence,16.7,23801.0,18181
Indiana,"Jay County, Indiana",2021,Crude Prevalence,16.7,20475.0,18075
Indiana,"Shelby County, Indiana",2021,Crude Prevalence,16.7,43556.0,18145
Indiana,"Sullivan County, Indiana",2021,Crude Prevalence,16.7,18405.0,18153
Indiana,"Tippecanoe County, Indiana",2021,Crude Prevalence,16.7,174497.0,18157
Indiana,"Hamilton County, Indiana",2021,Crude Prevalence,16.7,321126.0,18057
Indiana,"Bartholomew County, Indiana",2021,Crude Prevalence,16.7,81340.0,18005
Indiana,"Fulton County, Indiana",2021,Crude Prevalence,16.7,19688.0,18049
Indiana,"Noble County, Indiana",2021,Crude Prevalence,16.7,46413.0,18113
Indiana,"Clark County, Indiana",2021,Crude Prevalence,16.7,114572.0,18019
Indiana,"Hendricks County, Indiana",2021,Crude Prevalence,16.7,160276.0,18063
Indiana,"Grant County, Indiana",2021,Crude Prevalence,16.7,60861.0,18053
Indiana,"Jackson County, Indiana",2021,Crude Prevalence,16.7,42849.0,18071
Indiana,"Owen County, Indiana",2021,Crude Prevalence,16.7,20489.0,18119
Indiana,"Whitley County, Indiana",2021,Crude Prevalence,16.7,33274.0,18183
Indiana,"Clinton County, Indiana",2021,Crude Prevalence,16.7,31415.0,18023
Indiana,"Union County, Indiana",2021,Crude Prevalence,16.7,6953.0,18161
Indiana,"Dearborn County, Indiana",2021,Crude Prevalence,16.7,48744.0,18029
Indiana,"Lawrence County, Indiana",2021,Crude Prevalence,16.7,44695.0,18093
Indiana,"Perry County, Indiana",2021,Crude Prevalence,16.7,17325.0,18123
Indiana,"Posey County, Indiana",2021,Crude Prevalence,16.7,25248.0,18129
Indiana,"Carroll County, Indiana",2021,Crude Prevalence,16.7,19859.0,18015
Indiana,"Fountain County, Indiana",2021,Crude Prevalence,16.7,16203.0,18045
Indiana,"Starke County, Indiana",2021,Crude Prevalence,16.7,22825.0,18149
Indiana,"Greene County, Indiana",2021,Crude Prevalence,16.7,31730.0,18055
Iowa,"Benton County, Iowa",2019,Crude Prevalence,11.6,25156.0,19011
Iowa,"Dubuque County, Iowa",2019,Crude Prevalence,11.6,93255.0,19061
Iowa,"Pocahontas County, Iowa",2019,Crude Prevalence,11.6,6641.0,19151
Iowa,"Van Buren County, Iowa",2019,Crude Prevalence,11.6,7066.0,19177
Iowa,"Adams County, Iowa",2019,Crude Prevalence,11.6,3608.0,19003
Iowa,"Audubon County, Iowa",2019,Crude Prevalence,11.6,5417.0,19009
Iowa,"Davis County, Iowa",2019,Crude Prevalence,11.6,8783.0,19051
Iowa,"Ida County, Iowa",2019,Crude Prevalence,11.6,6741.0,19093
Iowa,"Monroe County, Iowa",2019,Crude Prevalence,11.6,7681.0,19135
Iowa,"Sioux County, Iowa",2019,Crude Prevalence,11.6,32514.0,19167
Iowa,"Calhoun County, Iowa",2019,Crude Prevalence,11.6,9016.0,19025
Iowa,"Cerro Gordo County, Iowa",2019,Crude Prevalence,11.6,41906.0,19033
Iowa,"Hardin County, Iowa",2019,Crude Prevalence,11.6,16209.0,19083
Iowa,"Lucas County, Iowa",2019,Crude Prevalence,11.6,8399.0,19117
Iowa,"Palo Alto County, Iowa",2019,Crude Prevalence,11.6,8665.0,19147
Iowa,"Henry County, Iowa",2019,Crude Prevalence,11.6,18410.0,19087
Iowa,"Jasper County, Iowa",2019,Crude Prevalence,11.6,35254.0,19099
Iowa,"Poweshiek County, Iowa",2019,Crude Prevalence,11.6,16670.0,19157
Iowa,"Clayton County, Iowa",2019,Crude Prevalence,11.6,17292.0,19043
Iowa,"Bremer County, Iowa",2019,Crude Prevalence,11.6,23348.0,19017
Iowa,"Emmet County, Iowa",2019,Crude Prevalence,11.6,8497.0,19063
Iowa,"Hancock County, Iowa",2019,Crude Prevalence,11.6,10601.0,19081
Iowa,"Jackson County, Iowa",2019,Crude Prevalence,11.6,19092.0,19097
Iowa,"Lee County, Iowa",2019,Crude Prevalence,11.6,32845.0,19111
Iowa,"Warren County, Iowa",2019,Crude Prevalence,11.6,48163.0,19181
Iowa,"Mahaska County, Iowa",2019,Crude Prevalence,11.6,21567.0,19123
Iowa,"Clay County, Iowa",2019,Crude Prevalence,11.6,15879.0,19041
Iowa,"Delaware County, Iowa",2019,Crude Prevalence,11.6,16983.0,19055
Georgia,"Bacon County, Georgia",2021,Crude Prevalence,25.8,10465.0,13005
Georgia,"Brantley County, Georgia",2021,Crude Prevalence,25.8,18606.0,13025
Georgia,"Ben Hill County, Georgia",2021,Crude Prevalence,25.8,16630.0,13017
Georgia,"Burke County, Georgia",2021,Crude Prevalence,25.8,22241.0,13033
Georgia,"Catoosa County, Georgia",2021,Crude Prevalence,25.8,65979.0,13047
Georgia,"Chattahoochee County, Georgia",2021,Crude Prevalence,25.8,7161.0,13053
Georgia,"Chattooga County, Georgia",2021,Crude Prevalence,25.8,22778.0,13055
