county_name,poverty_population,state_fips,county_fips,FIPS
"Fayette County, Illinois",19855.0,17,051,17051
"Logan County, Illinois",24979.0,17,107,17107
"Saline County, Illinois",23435.0,17,165,17165
"Lake County, Illinois",684107.0,17,097,17097
"Massac County, Illinois",13918.0,17,127,17127
"Cass County, Illinois",12331.0,17,017,17017
"Huntington County, Indiana",34942.0,18,069,18069
"White County, Indiana",23801.0,18,181,18181
"Jay County, Indiana",20475.0,18,075,18075
"Shelby County, Indiana",43556.0,18,145,18145
"Sullivan County, Indiana",18405.0,18,153,18153
"Tippecanoe County, Indiana",174497.0,18,157,18157
"Hamilton County, Indiana",321126.0,18,057,18057
"Bartholomew County, Indiana",81340.0,18,005,18005
"Fulton County, Indiana",19688.0,18,049,18049
"Noble County, Indiana",46413.0,18,113,18113
"Clark County, Indiana",114572.0,18,019,18019
"Hendricks County, Indiana",160276.0,18,063,18063
"Grant County, Indiana",60861.0,18,053,18053
"Jackson County, Indiana",42849.0,18,071,18071
"Owen County, Indiana",20489.0,18,119,18119
"Whitley County, Indiana",33274.0,18,183,18183
"Clinton County, Indiana",31415.0,18,023,18023
"Union County, Indiana",6953.0,18,161,18161
"Dearborn County, Indiana",48744.0,18,029,18029
"Lawrence County, Indiana",44695.0,18,093,18093
"Perry County, Indiana",17325.0,18,123,18123
"Posey County, Indiana",25248.0,18,129,18129
"Carroll County, Indiana",19859.0,18,015,18015
"Fountain County, Indiana",16203.0,18,045,18045
"Starke County, Indiana",22825.0,18,149,18149
"Greene County, Indiana",31730.0,18,055,18055
"Benton County, Iowa",25156.0,19,011,19011
"Dubuque County, Iowa",93255.0,19,061,19061
"Pocahontas County, Iowa",6641.0,19,151,19151
"Van Buren County, Iowa",7066.0,19,177,19177
"Adams County, Iowa",3608.0,19,003,19003
"Audubon County, Iowa",5417.0,19,009,19009
"Davis County, Iowa",8783.0,19,051,19051
"Ida County, Iowa",6741.0,19,093,19093
"Monroe County, Iowa",7681.0,19,135,19135
"Sioux County, Iowa",32514.0,19,167,19167
"Calhoun County, Iowa",9016.0,19,025,19025
"Cerro Gordo County, Iowa",41906.0,19,033,19033
"Hardin County, Iowa",16209.0,19,083,19083
"Lucas County, Iowa",8399.0,19,117,19117
"Palo Alto County, Iowa",8665.0,19,147,19147
"Henry County, Iowa",18410.0,19,087,19087
"Jasper County, Iowa",35254.0,19,099,19099
"Poweshiek County, Iowa",16670.0,19,157,19157
"Clayton County, Iowa",17292.0,19,043,19043
"Bremer County, Iowa",23348.0,19,017,19017
"Emmet County, Iowa",8497.0,19,063,19063
"Hancock County, Iowa",10601.0,19,081,19081
"Jackson County, Iowa",19092.0,19,097,19097
"Lee County, Iowa",32845.0,19,111,19111
"Warren County, Iowa",48163.0,19,181,19181
"Mahaska County, Iowa",21567.0,19,123,19123
"Clay County, Iowa",15879.0,19,041,19041
"Delaware County, Iowa",16983.0,19,055,19055
"Bacon County, Georgia",10465.0,13,005,13005
"Brantley County, Georgia",18606.0,13,025,13025
"Ben Hill County, Georgia",16630.0,13,017,13017
"Burke County, Georgia",22241.0,13,033,13033
"Catoosa County, Georgia",65979.0,13,047,13047
"Chattahoochee County, Georgia",7161.0,13,053,13053
"Chattooga County, Georgia",22778.0,13,055,13055
"Columbia County, Georgia",149750.0,13,073,13073
"Decatur County, Georgia",25476.0,13,087,13087
"Floyd County, Georgia",93107.0,13,115,13115
"Forsyth County, Georgia",227535.0,13,117,13117
"Habersham County, Georgia",42296.0,13,137,13137
"Hart County, Georgia",24802.0,13,147,13147
"Lowndes County, Georgia",111150.0,13,185,13185
"McIntosh County, Georgia",13967.0,13,191,13191
"Meriwether County, Georgia",20980.0,13,199,13199
"Monroe County, Georgia",26089.0,13,207,13207
"Putnam County, Georgia",21416.0,13,237,13237
"Sumter County, Georgia",27926.0,13,261,13261
"Taliaferro County, Georgia",1611.0,13,265,13265
"Warren County, Georgia",5224.0,13,301,13301
"Wayne County, Iowa",6313.0,19,185,19185
"Scott County, Iowa",168966.0,19,163,19163
"Sherman County, Kansas",5736.0,20,181,20181
"Thomas County, Kansas",7380.0,20,193,20193
"Morris County, Kansas",5482.0,20,127,20127
"Rooks County, Kansas",4862.0,20,163,20163
"Clark County, Kansas",1955.0,20,025,20025
"Harper County, Kansas",5438.0,20,077,20077
"Lyon County, Kansas",31606.0,20,111,20111
"Pawnee County, Kansas",5545.0,20,145,20145
"Comanche County, Kansas",1663.0,20,033,20033
"Gove County, Kansas",2589.0,20,063,20063
"Harvey County, Kansas",33100.0,20,079,20079
